epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.6513,1.19125,3.73125,0.97337,0.01533,0.95833,0.02375,0.01683,0.9947,3.28674,0.9725,0,0,0
2,0.912805,0.89394,3.61467,0.91603,0.01533,0.95833,0.02492,0.017,0.99099,3.28959,0.97383,1.9802e-05,1.9802e-05,1.9802e-05
3,1.22921,0.98819,3.76321,0.92749,0.01533,0.95833,0.02386,0.01649,0.98291,3.28755,0.97302,3.9208e-05,3.9208e-05,3.9208e-05
4,1.51251,0.93919,3.77738,0.92643,0.01533,0.95833,0.02389,0.01646,0.98313,3.28794,0.97322,5.8218e-05,5.8218e-05,5.8218e-05
5,1.75643,0.86813,3.67705,0.90429,0.01533,0.95833,0.02382,0.01664,0.97505,3.28654,0.97046,7.6832e-05,7.6832e-05,7.6832e-05
6,2.14186,0.89231,3.62336,0.91589,0.01533,0.95833,0.0335,0.02161,1.09431,3.25006,0.97433,9.505e-05,9.505e-05,9.505e-05
7,2.45526,0.71313,3.2721,0.87353,0.01533,0.95833,0.03798,0.02375,1.1608,3.2358,0.9887,0.000112872,0.000112872,0.000112872
8,2.77465,0.81332,3.05408,0.86116,0.01533,0.95833,0.03857,0.02397,1.16879,3.19789,0.99939,0.000130298,0.000130298,0.000130298
9,3.08807,0.84391,2.66436,0.87935,0.01533,0.95833,0.03924,0.02544,1.03135,3.15453,0.9756,0.000147328,0.000147328,0.000147328
10,3.40342,0.72346,2.15199,0.82443,0.01533,0.95833,0.04205,0.02801,0.96856,3.11056,0.97703,0.000163962,0.000163962,0.000163962
11,3.71607,0.80954,1.7322,0.83921,0.01533,0.95833,0.0415,0.02766,0.96244,3.10689,0.97661,0.0001802,0.0001802,0.0001802
12,4.01358,0.7435,1.65858,0.84095,0.01533,0.95833,0.04318,0.02884,0.98419,3.04367,0.99003,0.000196042,0.000196042,0.000196042
13,4.33884,0.77635,1.31188,0.84022,0.01533,0.95833,0.0451,0.03015,1.08935,2.94647,1.00637,0.000211488,0.000211488,0.000211488
14,4.66614,0.7373,0.96487,0.83624,0.01533,0.95833,0.29882,0.21852,1.06794,2.84532,1.0029,0.000226538,0.000226538,0.000226538
15,4.98434,0.75183,0.98869,0.83377,0.01533,0.95833,0.84068,0.56646,1.03135,2.75105,1.01785,0.000241192,0.000241192,0.000241192
16,5.42173,0.65289,1.06006,0.81981,0.01533,0.95833,0.87887,0.61401,1.01541,2.66813,1.00772,0.00025545,0.00025545,0.00025545
17,5.74394,0.70484,1.05259,0.87244,0.01533,0.95833,0.92687,0.67902,1.01118,2.61744,0.994,0.000269312,0.000269312,0.000269312
18,6.05076,0.69594,0.89879,0.83365,0.01533,0.95833,0.92687,0.67902,1.01118,2.61744,0.994,0.000282778,0.000282778,0.000282778
19,6.37308,0.68781,0.8721,0.84125,0.016,1,0.94062,0.69489,0.94508,2.56996,0.95051,0.000295848,0.000295848,0.000295848
20,6.68596,0.67634,0.96434,0.82461,0.016,1,0.94062,0.69489,0.94508,2.56996,0.95051,0.000308522,0.000308522,0.000308522
21,7.00399,0.70017,0.82171,0.84064,0.016,1,0.86711,0.6352,0.95591,2.5497,0.94933,0.0003208,0.0003208,0.0003208
22,7.29493,0.63377,0.84764,0.80657,0.016,1,0.86711,0.6352,0.95591,2.5497,0.94933,0.000332682,0.000332682,0.000332682
23,7.60271,0.69832,0.78998,0.80778,0.016,1,0.8994,0.65091,0.93515,2.5484,0.92755,0.000344168,0.000344168,0.000344168
24,7.89162,0.71959,0.85179,0.82902,0.016,1,0.8994,0.65091,0.93515,2.5484,0.92755,0.000355258,0.000355258,0.000355258
25,8.19234,0.67622,0.82149,0.83226,0.016,1,0.90483,0.66017,0.94365,2.57987,0.93433,0.000365952,0.000365952,0.000365952
26,8.4973,0.69679,0.82836,0.81963,0.016,1,0.90483,0.66017,0.94365,2.57987,0.93433,0.00037625,0.00037625,0.00037625
27,8.92909,0.66901,0.83367,0.81513,0.016,1,0.88067,0.63847,0.93883,2.55159,0.93778,0.000386152,0.000386152,0.000386152
28,9.22483,0.64044,0.7415,0.80788,0.016,1,0.88067,0.63847,0.93883,2.55159,0.93778,0.000395658,0.000395658,0.000395658
29,9.53478,0.61635,0.73527,0.82575,0.016,1,0.83923,0.60369,0.9321,2.52953,0.93424,0.000404768,0.000404768,0.000404768
30,9.82946,0.60332,0.72058,0.81156,0.016,1,0.83923,0.60369,0.9321,2.52953,0.93424,0.000413482,0.000413482,0.000413482
31,10.1327,0.62465,0.74723,0.8021,0.016,1,0.86402,0.606,0.91928,2.50016,0.92302,0.0004218,0.0004218,0.0004218
32,10.4282,0.65358,0.73361,0.80839,0.016,1,0.86402,0.606,0.91928,2.50016,0.92302,0.000429722,0.000429722,0.000429722
33,10.7313,0.64035,0.70939,0.83157,0.016,1,0.823,0.5862,0.92273,2.46448,0.93359,0.000437248,0.000437248,0.000437248
34,11.0227,0.67069,0.75861,0.85285,0.016,1,0.823,0.5862,0.92273,2.46448,0.93359,0.000444378,0.000444378,0.000444378
35,11.3231,0.58991,0.76007,0.81428,0.016,1,0.70524,0.52049,0.88052,2.4537,0.92822,0.000451112,0.000451112,0.000451112
36,11.6161,0.63688,0.72521,0.83441,0.016,1,0.70524,0.52049,0.88052,2.4537,0.92822,0.00045745,0.00045745,0.00045745
37,12.0409,0.621,0.68902,0.80369,0.016,1,0.82519,0.60788,0.90778,2.45322,0.93872,0.000463392,0.000463392,0.000463392
38,12.3307,0.60879,0.71217,0.82336,0.016,1,0.82519,0.60788,0.90778,2.45322,0.93872,0.000468938,0.000468938,0.000468938
39,12.6366,0.6618,0.72064,0.82899,0.016,1,0.82925,0.59893,0.92431,2.46731,0.94361,0.000474088,0.000474088,0.000474088
40,12.9355,0.61748,0.66152,0.80077,0.016,1,0.82925,0.59893,0.92431,2.46731,0.94361,0.000478842,0.000478842,0.000478842
41,13.273,0.55713,0.69103,0.80428,0.016,1,0.82209,0.56231,0.94168,2.46734,0.94973,0.0004832,0.0004832,0.0004832
